Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,image_url
LOYALTY. FEAT. RIHANNA.,DAMN.,Kendrick Lamar,2017-04-14,USUM71703086,"4,380",20.0,"669,703,929","101,138","18,743,066",73.0,"234,757,944","2,316,992",40,"10,010","73,180","186,613,935",159.0,"5,783",0,37.0,"147,634",24.0,"234,306,133","67,483","4,369,805","2,302,809",0.0,1,https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699
Deep in the Water,Deep in the Water,Don Toliver,2024-03-14,USAT22401435,"4,396",20.0,"23,798,578","5,758","16,475,168",0.0,"4,469,788","97,913",0,0,0,"3,879,793",12.0,298,4,5.0,"1,994,258",13.0,"1,944,815",163,"600,647",0,0.0,1,https://i.scdn.co/image/ab67616d0000b273c800e1a4a237cf8f085183c5
Endless Fashion (feat. Nicki Minaj),Endless Fashion (feat. Nicki Minaj),Lil Uzi Vert,2023-06-21,USAT22306857,"4,387",20.0,"68,598,656","27,448","5,932,034",59.0,"11,390,626","162,262",215,"10,359","190,551","12,857,711",31.0,0,40,7.0,"43,157",16.0,"9,397,582","3,116",0,"504,646",0.0,1,https://i.scdn.co/image/ab67616d0000b273a0e7694a73abed7372474d69
A Mimir En El Chat,A Mimir En El Chat,Dejavu FF,2024-04-16,QM6MZ2472476,"4,382",20.0,"288,153",18,"9,453",0.0,"26,302,423","331,850",0,0,0,"8,513,075",0.0,0,0,0.0,0,0.0,0,0,0,"3,122",0.0,0,https://i.scdn.co/image/ab67616d0000b273f2d1e9f8dd2e1d27211d9e25
Temporary pyar,Temporary pyar,Kaka,2021-09-04,INS402100006,"4,390",20.0,"38,264,355","4,017","329,185",53.0,"451,922,405","6,040,482",34,"1,248","4,585",0,0.0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,https://i.scdn.co/image/ab67616d0000b27300f460f9ac7c73ffae3d4c40
AA,AA,Walker Hayes,2021-11-19,USQX92104965,"4,389",20.0,"80,899,019","14,613","2,423,704",53.0,"68,620,784","468,664","26,941","9,119,456","116,447,096","213,619,922",11.0,"105,035",91,2.0,"95,374",17.0,"146,613,382","30,173",0,"761,595",0.0,0,https://i.scdn.co/image/ab67616d0000b273cc1ed62132516aabf6ef8751
Phir Bhi Tumko Chaahunga,Half Girlfriend,Mithoon,2017-04-30,INZ031402279,"4,378",20.0,"82,758,005","13,462","6,604,073",2.0,"1,074,239,950","6,411,485","66,248","4,131,680","63,379,747","25,137,111",6.0,0,0,0.0,0,5.0,"2,120,750",0,0,"539,903",0.0,0,https://i.scdn.co/image/ab67616d0000b273aca529b2fdfaabf2f50fc9e3
Passinho Debochado,Passinho Debochado,Dan Ventura,2021-07-30,QZMZ92162594,"4,384",20.0,"68,273,832","9,866","2,234,406",45.0,"96,088,323","1,033,691","2,308,300","78,196,584","1,220,672,571","39,878,647",11.0,364,0,3.0,"83,546",2.0,0,0,0,"146,957",0.0,0,https://i.scdn.co/image/ab67616d0000b2734563c81325e80d30d07acc46
Go Hard,Go Hard - Single,Lil Baby,2023-04-28,USUG12300031,"4,394",20.0,"70,601,620","32,101","23,637,848",60.0,"7,241,759","93,111","20,794","1,923,197","21,009,932",0,10.0,"1,375",51,7.0,"89,394",0.0,"15,028,714","2,422",0,"356,684",0.0,1,https://i.scdn.co/image/ab67616d0000b2736cab41f8c84d6164976400d4
La La La (Brazil 2014),Shakira. (Deluxe Version),Shakira,2014-03-14,USRC11400478,"4,395",20.0,"125,560,682","17,633","2,897,643",55.0,"1,315,361,520","7,019,819","1,954,896","107,672,504","1,601,097,526","228,839,908",11.0,"1,166",102,7.0,"129,945",2.0,0,0,0,"1,319,100",0.0,0,https://i.scdn.co/image/ab67616d0000b273625fe347d8e5565382d26c62
